Category,Headline,SubHeading,Link,isResult,isMaybe
OL,Skandale breder sig efter OL,"Anklagere i Tokyo mener ikke, at alt er gået ordentligt til i forbindelse med tildeling af testbegivenheder",,False,
OL,"OL-guldvinder får ny medalje, efter borgmester bed i den",Takashi Kawamura har undskyldt og kalder sine handlinger for 'ekstremt upassende',,False,
OL,Høyer giver råd til Axelsen - men han får svært ved at følge det,Poul-Erik Høyer råder Viktor Axelsen til at slappe af efter OL-guldet,,True,
OL,Cavendishs søn vil have Mørkøvs trøje,"Danskerens holdkammerater på Deceuninck - Quick-Step havde plads til at lave sjov, da de skulle sætte ord på Michael Mørkøvs OL-guld",,False,
OL,Hvor godt husker du OL?,Test din viden med TV 2 SPORTs quiz om det netop overståede OL,,False,
OL,Hjemvendte OL-atleter blev hyldet med taler og klapsalver,Blandt andre kronprins Frederik og statsminister Mette Frederiksen holdt taler for de hjemvendte OL-atleter,,False,
OL,Her er nøgletallene fra OL,Trods coronapandemien blev der på ny skrevet masser af historie ved det 32. sommer-OL,,False,
OL,"Axelsen kom med vigtigt budskab, da han blev hyldet i sin hjemby",Viktor Axelsen er ikke fan af den nuværende udvikling blandt unge danske badmintonspillere,,False,
OL,"Axelsen troede ikke på det, da han hørte om Mørkøvs hyldest","Viktor Axelsen er ""meget beæret"" over at blive navnebror med Michael Mørkøvs tredje barn",,False,
OL,Hvor godt er 11 medaljer? Se Danmarks medaljehøst siden 1896,"I 1948 vandt Danmark hele 20 medaljer. Det er flest af alle de olympiske lege, som Danmark har sendt atleter til",,False,
OL,Sådan ser fremtiden ud for det danske herrelandshold,"Flere unge spillere er på vej frem, men stammen på landsholdet forbliver den samme i de næste mange år",,False,
OL,OL-guldvinder opkalder søn efter Viktor Axelsen,"Cykelrytteren Michael Mørkøv vandt lørdag OL-guld. Nu afslører han, at hans kommende søn skal opkaldes efter en fynsk OL-guldvinder",,True,
OL,Mørkøv og Norman fanget i polsk heltemodtagelse,Michael Mørkøv og Lasse Norman blev fejret to gange på rejsen hjem fra OL i Tokyo,,True,
OL,Derfor fremhæver eksperter på tværs af sportsgrene Axelsens OL-guld,"Flere eksperter nævner Viktor Axelsens guld som deres OL-højdepunkt, men en flok hurtige italienere er også nævnt",,False,
OL,"OL-helte fejret i lufthavnen: - Er det rigtigt guld, far?",De danske guldvindere i parløb Lasse Norman Hansen og Michael Mørkøv landede søndag aften i Københavns Lufthavn i Kastrup,,True,x
OL,Tabt finale vil sidde i landstræneren for resten af livet,"Nikolaj Jacobsen kan ikke bare sådan lige fjerne skuffelsen over den tabte OL-finale. En følelse, der formentlig vil følge håndboldherrerne for altid",,True,
OL,26-årig stjerne i tårer - vil holde lang pause fra håndbold,"TV 2 SPORTs håndboldekspert Bent Nyegaard har stor respekt for, at en af de store stjerner i sporten står frem og siger fra",,False,
OL,"Grædende mænd, psykisk sundhed og inklusion - det vil vi huske OL for","OL handler om sport, men i år har der også været store øjeblikke rundt om sporten. TV 2 ser tilbage på de øjeblikke, som definerede legene i Tokyo",,False,
OL,11 medaljer i Tokyo skaber tilfredshed i idrætstoppen,"Team Danmarks sportsdirektør, Lars Balle Christensen, er tilfreds med OL-atleternes udbytte i Tokyo",,False,
OL,OL-triumf gjorde fransk stjerne historisk: - Bliver aldrig overgået,Landsholdsstjernen kan prale af et CV som ingen andre i håndboldverdenen,,False,
OL,Frankrig vinder dobbelt OL-guld i håndbold,"Frankrigs håndboldkvinder fik revanche fra OL-finalenederlaget i 2016, da det russiske hold blev slået med 30-25 i Tokyo",,True,
OL,"""Gidsel on fire"" - profiler fortæller om Danmarks vilde OL-fest","Håndboldherrerne og den øvrige danske OL-delegation havde en stor fest ved legenes næstsidste nat, hvor særligt Mathias Gidsel blev fejret",,False,
OL,Rolf Sørensen hylder danske gulddrenge,"Michael Mørkøv og Lasse Norman er den perfekte sammensætning af et par på banen, hvis man spørger Rolf Sørensen",,False,
OL,Skuffet Dideriksen: - Lukkede øjnene og håbede på det bedste,"Amalie Dideriksen var meget tæt på at styrte, men kom siden tilbage og blandede sig i omniums OL-medaljeræs",,True,x
OL,Landsholdets gyldne år er i gang - og flere medaljer er på vej,Det danske herrelandshold går en lovende fremtid i møde. Det er der flere grunde til,,False,
OL,Dideriksen misser OL-medalje i tæt finale,"Amalie Dideriksen kan rejse hjem fra OL i Tokyo med en medalje, efter hun og makkeren Julie Leth blev nummer to i kvindernes parløb",,True,
OL,Brasilien vinder forlænget OL-finale i fodbold,Brasilien vandt herrernes fodboldfinale med 2-1 over Spanien efter forlænget spilletid,,True,
OL,Danmark får sølv - taber finalegyser,"Danmark formåede ikke at forsvare OL-guldet fra Rio de Janeiro, da det blev til et finalenederlag til Frankrig",,True,
OL,"- En kæmpe skuffelse, siger Jacobsen","Danmark var bagud med 12-18, men formåede at gøre OL-finalen helt tæt til sidst",,True,
OL,Træner smidt ud for at slå sin hest,Der udspillede sig noget af et drama under kvindernes moderne femkamp,,False,
OL,Norman skriver dansk OL-historie,Lasse Norman Hansen er rykket op på en delt førsteplads på listen over alle tiders danske OL-medaljeslugere,,True,
OL,Nikolaj Jacobsen har plan klar til at overraske Frankrig,"Landstræner Nikolaj Jacobsen sætter sin lid til, at de erfarne spillere går forrest i OL-finalen, mens de unge spillere lader sig suge med",,False,
OL,Derfor tror Klavs Bruun på dansk sejr,De danske håndboldherrer står ifølge håndboldekspert Klavs Bruun Jørgensen godt rustet til at slå de franske stjerner i OL-finalen,,False,
OL,Spaniens håndboldherrer snupper OL-bronze,Spanien vandt håndboldherrernes OL-bronzekamp med 33-31 over Egypten,,True,
OL,Mørkøv hentede guld med Axelsen i tankerne,Michael Mørkøv beundrer badmintonspilleren Viktor Axelsens kølighed i forbindelse med OL-guldet,,True,
OL,OL-guld til suveræne Mørkøv og Norman,Et perfekt disponeret parløb endte med dansk OL-guld. Det er Danmarks 11. medalje ved legene i Tokyo,,True,
OL,"Alt var kaos, da OL i maraton blev vundet på æggehvider, cognac og rottegift","Natten til søndag løbes maratonløbet ved OL i Tokyo. Den sidste atletikkonkurrence, der heldigvis ikke bliver lige så vanvittig som 1904-udgaven",,False,
